SKU,Title,Category,Reason
"PK-MOB-029","Tecno Spark 20 Pro Plus 8GB 256GB Temporal Orbits","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-030","Tecno Spark 20 Pro 8GB 256GB Frosty Ivory","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-031","Tecno Spark 20 8GB 128GB Gravity Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-032","Tecno Pop 8 4GB 64GB Mystery White","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-033","Vivo V30 5G 12GB 256GB Waving Aqua","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-034","Vivo V30e 8GB 256GB Coco Brown","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-035","Vivo Y200 8GB 256GB Desert Gold","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-036","Vivo Y28 8GB 128GB Agate Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-037","Vivo Y17s 6GB 128GB Forest Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-038","Vivo Y03 4GB 64GB Gem Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-039","Realme 12 Pro Plus 5G 12GB 512GB Submarine Blue","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-040","Realme C67 8GB 128GB Sunny Oasis","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-041","Realme C53 6GB 128GB Champion Gold","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-042","Realme Note 50 4GB 64GB Sky Blue","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-043","Oppo Reno 11 5G 12GB 256GB Wave Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-044","Oppo Reno 11F 5G 8GB 256GB Ocean Blue","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-045","Oppo A78 8GB 256GB Aqua Green","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-046","Oppo A58 8GB 128GB Glowing Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-047","Oppo A38 4GB 128GB Glowing Gold","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-048","Oppo A18 4GB 128GB Glowing Blue","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-049","OnePlus 12 16GB 512GB Flowy Emerald","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-050","OnePlus Nord CE 4 8GB 256GB Celadon Marble","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-051","Nothing Phone (2) 12GB 256GB Dark Grey","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-MOB-052","Nothing Phone (2a) 12GB 256GB Black","Mobile Phones","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-LAP-006","Dell XPS 15 9530 13th Gen Core i7-13700H 16GB 1TB RTX 4050","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-007","Dell Inspiron 15 3520 Intel Core i5-1235U 8GB 512GB SSD Carbon Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-008","Dell Inspiron 15 3530 13th Gen Core i7-1355U 16GB 512GB SSD Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-009","Dell G15 5530 Gaming Laptop 13th Gen Core i7-13650HX 16GB 512GB RTX 4060","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-010","HP Spectre x360 14 2-in-1 Intel Core Ultra 7 155H 16GB 1TB OLED Touch","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-011","HP Envy x360 15 13th Gen Core i7-1355U 16GB 512GB SSD Touch Natural Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-012","HP Pavilion 15 13th Gen Core i5-1335U 8GB 512GB SSD Natural Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-013","HP Victus 15 Gaming Laptop 13th Gen Core i5-13420H 16GB 512GB RTX 3050","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-014","HP Victus 16 Gaming Laptop AMD Ryzen 7 7840HS 16GB 512GB RTX 4060","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-015","HP 250 G9 Business Laptop Intel Core i3-1215U 8GB 256GB SSD Dark Ash Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-016","Lenovo ThinkPad E14 Gen 5 13th Gen Core i7-1355U 16GB 512GB SSD Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-017","Lenovo IdeaPad Slim 3 15 13th Gen Core i5-13420H 8GB 512GB SSD Arctic Grey","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-018","Lenovo LOQ 15 Gaming Laptop 13th Gen Core i7-13650HX 16GB 512GB RTX 4060","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-019","Lenovo Legion Pro 5 16 14th Gen Core i9-14900HX 32GB 1TB RTX 4070 Onyx Grey","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-020","Asus ZenBook 14 OLED Intel Core Ultra 7 155H 16GB 1TB SSD Ponder Blue","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-021","Asus TUF Gaming A15 AMD Ryzen 7 7735HS 16GB 512GB RTX 4060 Mecha Gray","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-022","Asus ROG Zephyrus G16 Intel Core Ultra 9 185H 32GB 1TB RTX 4080 OLED Eclipse Gray","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-023","Acer Aspire 5 15 13th Gen Core i5-1335U 8GB 512GB SSD Steel Gray","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-024","Acer Nitro V 15 Gaming Laptop 13th Gen Core i5-13420H 16GB 512GB RTX 4050","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-025","MSI Thin 15 Gaming Laptop 12th Gen Core i5-12450H 16GB 512GB RTX 3050","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-026","HP All-In-One 24 Intel Core i5-1335U 8GB 512GB 23.8 FHD Touch White","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-027","Dell OptiPlex 7010 Micro Desktop Intel Core i5-13500T 16GB 512GB SSD","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-028","Custom Gaming Desktop PC Intel Core i7-14700F RTX 4070 12GB 32GB 1TB NVMe","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-029","Custom Office Desktop PC Intel Core i5-12400 16GB RAM 512GB SSD 500W PSU","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-030","Apple Mac Mini M2 Chip 8GB Unified Memory 256GB SSD Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-031","Lenovo ThinkPad T14 Gen 4 Core i5-1335U 16GB 512GB SSD Thunder Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-032","Dell Latitude 5440 Core i5-1335U 16GB 512GB SSD Windows 11 Pro","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-033","HP EliteBook 840 G10 Core i7-1355U 16GB 512GB SSD Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-034","Asus VivoBook 15 Core i5-1335U 8GB 512GB SSD Quiet Blue","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-035","Asus VivoBook 16 Core i7-1355U 16GB 512GB SSD Indie Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-036","MSI Katana 15 Gaming Laptop 13th Gen Core i7-13620H 16GB 1TB RTX 4060","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-037","MSI Modern 14 Core i3-1215U 8GB 512GB SSD Classic Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-038","MSI Modern 15 Core i5-1335U 16GB 512GB SSD Urban Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-039","Lenovo IdeaPad 1 15 AMD Ryzen 5 7520U 8GB 512GB SSD Cloud Grey","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-040","HP Omen 16 Gaming Laptop 13th Gen Core i7-13700HX 16GB 1TB RTX 4070 Shadow Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-041","Dell Vostro 3520 Core i3-1215U 8GB 256GB SSD Carbon Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-042","Acer Swift Go 14 OLED Intel Core Ultra 7 155H 16GB 1TB SSD Pure Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-043","Lenovo ThinkPad E16 Gen 1 Core i5-1335U 16GB 512GB SSD Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-044","Asus Vivobook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD Cool Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-045","Dell Inspiron 14 5430 13th Gen Core i7-1360P 16GB 1TB SSD Platinum Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-046","HP ProBook 450 G10 Core i5-1335U 16GB 512GB SSD Pike Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-047","Lenovo IdeaPad Gaming 3 15 AMD Ryzen 5 7535HS 16GB 512GB RTX 2050","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-048","Asus TUF Gaming F15 13th Gen Core i7-13620H 16GB 1TB RTX 4070 Jaeger Gray","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-049","MSI Cyborg 15 13th Gen Core i7-13620H 16GB 512GB RTX 4050 Translucent Black","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-050","Apple iMac 24 M3 Chip 8-Core CPU 8-Core GPU 8GB 256GB Blue","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-051","Dell Inspiron 16 5630 13th Gen Core i7-1360P 16GB 1TB SSD Platinum Silver","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-LAP-052","HP Pavilion Plus 14 OLED 13th Gen Core i7-13700H 16GB 1TB SSD Warm Gold","Laptops & Computers","Invalid generated URL: retailer returned 404 Not Found"
"PK-ACC-004","Anker 735 GaNPrime 65W 3-Port Wall Charger Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-005","Anker Soundcore Space One Active Noise Cancelling Headphones Jet Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-006","Anker Soundcore Life P20i True Wireless Earbuds Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-007","Ronin R-970 TWS Wireless Gaming Earbuds with Low Latency Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-008","Ronin R-9 Crystal Clear Wireless Earbuds White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-009","Ronin R-740 20000mAh 22.5W Fast Charging Power Bank Metallic Grey","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-010","Audionic Airbud 550 Slide Wireless Earbuds Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-011","Audionic Airbud 425 Quad Mic TWS Earbuds White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-012","Audionic Signature S-75 Wireless Neckband Earphones Red","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-013","Samsung 25W USB-C Super Fast Wall Charger White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-014","Samsung 45W Power Adapter with 5A Type-C Cable Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-015","Apple 20W USB-C Power Adapter White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-016","Apple MagSafe Wireless Charger 15W Silver","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-017","Xiaomi 33W Power Bank 10000mAh Pocket Edition Pro White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-018","Xiaomi Redmi Buds 5 Pro Active Noise Cancelling Earbuds Midnight Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-019","Baseus Blade 100W Ultra-Thin Power Bank 20000mAh Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-0020","Joyroom JR-T03S Pro ANC True Wireless Earbuds White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-021","Ugreen 100W Nexode 4-Port GaN Desktop Charger Space Grey","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-022","Ugreen 100W Braided USB-C to USB-C Fast Charging Cable 2m Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-023","Spigen Rugged Armor Case for iPhone 15 Pro Max Matte Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-024","Spigen Tough Armor Case for Samsung Galaxy S24 Ultra Gunmetal","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-025","Soundpeats Engine 4 Wireless Hi-Res Earbuds Brown","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-026","QCY T13 ANC True Wireless Earbuds Active Noise Cancellation White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-027","Remax RPP-20 15000mAh Multi-function Fast Charging Power Bank with Built-in Cables","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-028","Faster TG200 Wireless Bluetooth Neckband Earphones Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-029","Faster 20W PD Fast Charger Adapter White","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-030","Baseus 65W GaN5 Pro Ultra-Slim Fast Wall Charger Black","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-031","Ronin Premium Mobile Essential Pro #31","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-032","Audionic Premium Mobile Essential Pro #32","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-033","Anker Premium Mobile Essential Pro #33","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-034","Ronin Premium Mobile Essential Pro #34","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-035","Audionic Premium Mobile Essential Pro #35","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-036","Anker Premium Mobile Essential Pro #36","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-037","Ronin Premium Mobile Essential Pro #37","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-038","Audionic Premium Mobile Essential Pro #38","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-039","Anker Premium Mobile Essential Pro #39","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-040","Ronin Premium Mobile Essential Pro #40","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-041","Audionic Premium Mobile Essential Pro #41","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-042","Anker Premium Mobile Essential Pro #42","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-043","Ronin Premium Mobile Essential Pro #43","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-044","Audionic Premium Mobile Essential Pro #44","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-045","Anker Premium Mobile Essential Pro #45","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-046","Ronin Premium Mobile Essential Pro #46","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-047","Audionic Premium Mobile Essential Pro #47","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-048","Anker Premium Mobile Essential Pro #48","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-049","Ronin Premium Mobile Essential Pro #49","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-050","Audionic Premium Mobile Essential Pro #50","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-051","Anker Premium Mobile Essential Pro #51","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-ACC-052","Ronin Premium Mobile Essential Pro #52","Mobile Accessories","Retailer hotlink blocking: Cloudflare TLS handshake rejection (SEC_E_ILLEGAL_MESSAGE 0x80090326)"
"PK-CMP-004","Logitech G304 Lightspeed Wireless Gaming Mouse Black","Computer Accessories","Invalid generated URL: retailer returned 404 Not Found"
"PK-CMP-005","Logitech C920 HD Pro Webcam 1080p with Stereo Audio","Computer Accessories","Invalid generated URL: retailer returned 404 Not Found"
"PK-CMP-006","Razer DeathAdder V3 Pro Wireless Gaming Mouse Ultra-Lightweight White","Computer Accessories","Invalid generated URL: retailer returned 404 Not Found"
"PK-CMP-007","Razer BlackWidow V4 Pro Mechanical Gaming Keyboard Green Switches","Computer Accessories","Invalid generated URL: retailer returned 404 Not Found"
